20220901 022600;1.001100;1.001240;1.001100;1.001150;0
20220901 022700;1.001160;1.001210;1.000910;1.000950;0
20220901 022800;1.000960;1.001270;1.000950;1.001190;0
20220901 022900;1.001200;1.001500;1.001200;1.001460;0
20220901 023000;1.001460;1.001480;1.001160;1.001260;0
20220901 023100;1.001250;1.001550;1.001250;1.001520;0
20220901 023200;1.001520;1.001520;1.001320;1.001490;0
20220901 023300;1.001520;1.001880;1.001460;1.001860;0
20220901 023400;1.001860;1.001970;1.001750;1.001930;0
20220901 023500;1.001930;1.001950;1.001730;1.001790;0
20220901 023600;1.001810;1.002020;1.001810;1.001970;0
20220901 023700;1.001960;1.001970;1.001850;1.001860;0
20220901 023800;1.001870;1.001980;1.001790;1.001940;0
20220901 023900;1.001940;1.002010;1.001840;1.001960;0
20220901 024000;1.001960;1.001960;1.001820;1.001830;0
20220901 024100;1.001860;1.001960;1.001810;1.001950;0
20220901 024200;1.001940;1.001990;1.001860;1.001870;0
20220901 024300;1.001860;1.001890;1.001700;1.001820;0
20220901 024400;1.001830;1.002050;1.001830;1.002040;0
20220901 024500;1.002030;1.002030;1.001800;1.001860;0
20220901 024600;1.001870;1.001980;1.001690;1.001840;0
20220901 024700;1.001840;1.001980;1.001530;1.001610;0
20220901 024800;1.001620;1.001730;1.001320;1.001320;0
20220901 024900;1.001300;1.001380;1.001140;1.001150;0
20220901 025000;1.001170;1.001460;1.001110;1.001460;0
20220901 025100;1.001470;1.001660;1.001470;1.001610;0
20220901 025200;1.001600;1.002000;1.001590;1.001930;0
20220901 025300;1.001950;1.002060;1.001770;1.001860;0
20220901 025400;1.001850;1.002490;1.001850;1.002360;0
20220901 025500;1.002380;1.002610;1.002310;1.002560;0
20220901 025600;1.002560;1.002600;1.002350;1.002500;0
20220901 025700;1.002490;1.002590;1.002040;1.002050;0
20220901 025800;1.002040;1.002260;1.002020;1.002260;0
20220901 025900;1.002270;1.002440;1.002000;1.002060;0
20220901 030000;1.002060;1.002060;1.001300;1.001560;0
20220901 030100;1.001550;1.001800;1.001360;1.001610;0
20220901 030200;1.001600;1.001810;1.001490;1.001730;0
20220901 030300;1.001740;1.001920;1.001310;1.001510;0
20220901 030400;1.001510;1.001710;1.001350;1.001710;0
20220901 030500;1.001720;1.001880;1.001620;1.001870;0
20220901 030600;1.001880;1.002100;1.001800;1.001930;0
20220901 030700;1.001930;1.002030;1.001780;1.001920;0
20220901 030800;1.001880;1.001950;1.001690;1.001930;0
20220901 030900;1.001920;1.001980;1.001770;1.001950;0
20220901 031000;1.001930;1.002050;1.001740;1.002020;0
20220901 031100;1.002010;1.002130;1.001850;1.002120;0
20220901 031200;1.002120;1.002420;1.002100;1.002220;0
20220901 031300;1.002240;1.002280;1.002120;1.002200;0
20220901 031400;1.002200;1.002360;1.002180;1.002290;0
20220901 031500;1.002300;1.002540;1.002130;1.002520;0
20220901 031600;1.002540;1.002540;1.002320;1.002340;0
20220901 031700;1.002360;1.002850;1.002360;1.002850;0
20220901 031800;1.002850;1.002870;1.002620;1.002790;0
20220901 031900;1.002810;1.002890;1.002660;1.002730;0
20220901 032000;1.002750;1.002890;1.002620;1.002820;0
20220901 032100;1.002800;1.002890;1.002710;1.002830;0
20220901 032200;1.002830;1.003220;1.002410;1.002420;0
20220901 032300;1.002410;1.002570;1.002230;1.002460;0
20220901 032400;1.002460;1.002790;1.002460;1.002550;0
20220901 032500;1.002580;1.002690;1.002410;1.002520;0
20220901 032600;1.002510;1.002640;1.002450;1.002530;0
20220901 032700;1.002510;1.002540;1.002420;1.002490;0
20220901 032800;1.002500;1.002680;1.002330;1.002670;0
20220901 032900;1.002670;1.002750;1.002520;1.002520;0
20220901 033000;1.002530;1.002560;1.002430;1.002470;0
20220901 033100;1.002490;1.002540;1.002200;1.002210;0
20220901 033200;1.002210;1.002420;1.002120;1.002330;0
20220901 033300;1.002320;1.002320;1.002070;1.002070;0
20220901 033400;1.002080;1.002310;1.002010;1.002310;0
20220901 033500;1.002300;1.002490;1.002170;1.002350;0
20220901 033600;1.002350;1.002410;1.002120;1.002130;0
20220901 033700;1.002120;1.002200;1.002000;1.002010;0
20220901 033800;1.002030;1.002140;1.001920;1.002030;0
20220901 033900;1.002010;1.002060;1.001900;1.002000;0
20220901 034000;1.001980;1.002100;1.001870;1.001870;0
20220901 034100;1.001870;1.002000;1.001800;1.001960;0
20220901 034200;1.001940;1.002080;1.001900;1.002030;0
20220901 034300;1.002040;1.002060;1.001830;1.001960;0
20220901 034400;1.001960;1.002340;1.001950;1.002260;0
20220901 034500;1.002280;1.002370;1.002040;1.002330;0
20220901 034600;1.002310;1.002360;1.002100;1.002300;0
20220901 034700;1.002300;1.002580;1.002270;1.002480;0
20220901 034800;1.002530;1.002550;1.002380;1.002420;0
20220901 034900;1.002430;1.002530;1.002390;1.002470;0
20220901 035000;1.002480;1.003020;1.002320;1.002320;0
20220901 035100;1.002320;1.002540;1.002220;1.002230;0
20220901 035200;1.002230;1.002380;1.002120;1.002340;0
20220901 035300;1.002360;1.002430;1.002190;1.002360;0
20220901 035400;1.002350;1.002420;1.002240;1.002240;0
20220901 035500;1.002200;1.002600;1.002000;1.002590;0
20220901 035600;1.002600;1.003010;1.002580;1.002990;0
20220901 035700;1.002990;1.003270;1.002940;1.003190;0
20220901 035800;1.003190;1.003270;1.002900;1.002980;0
20220901 035900;1.002980;1.003080;1.002890;1.002970;0
20220901 040000;1.002970;1.003270;1.002930;1.003090;0
20220901 040100;1.003080;1.003080;1.002770;1.002830;0
20220901 040200;1.002840;1.002840;1.002370;1.002390;0
20220901 040300;1.002390;1.002720;1.002360;1.002700;0
20220901 040400;1.002720;1.002870;1.002660;1.002810;0
20220901 040500;1.002800;1.002850;1.002710;1.002790;0
20220901 040600;1.002780;1.003190;1.002780;1.003180;0
20220901 040700;1.003180;1.003300;1.003080;1.003080;0
20220901 040800;1.003080;1.003350;1.003080;1.003180;0
20220901 040900;1.003180;1.003210;1.002890;1.002930;0
20220901 041000;1.002940;1.002990;1.002820;1.002960;0
20220901 041100;1.002960;1.003270;1.002760;1.003240;0
20220901 041200;1.003230;1.003400;1.003220;1.003350;0
20220901 041300;1.003340;1.003950;1.003330;1.003480;0
20220901 041400;1.003480;1.003670;1.003430;1.003530;0
20220901 041500;1.003540;1.003800;1.003470;1.003660;0
20220901 041600;1.003660;1.003760;1.003550;1.003570;0
20220901 041700;1.003570;1.003900;1.003550;1.003850;0
20220901 041800;1.003880;1.003980;1.003810;1.003950;0
20220901 041900;1.003950;1.003980;1.003790;1.003950;0
20220901 042000;1.003950;1.004850;1.003760;1.004450;0
20220901 042100;1.004450;1.004850;1.004350;1.004370;0
20220901 042200;1.004360;1.004360;1.003940;1.004040;0
20220901 042300;1.003970;1.003970;1.003480;1.003490;0
20220901 042400;1.003500;1.003740;1.003480;1.003600;0
20220901 042500;1.003600;1.003780;1.003480;1.003620;0
20220901 042600;1.003630;1.003810;1.003480;1.003500;0
20220901 042700;1.003490;1.003560;1.003370;1.003370;0
20220901 042800;1.003360;1.003530;1.003350;1.003420;0
20220901 042900;1.003420;1.003520;1.003330;1.003340;0
20220901 043000;1.003360;1.003530;1.002870;1.002950;0
20220901 043100;1.003000;1.003920;1.002970;1.003530;0
20220901 043200;1.003530;1.003570;1.003270;1.003530;0
20220901 043300;1.003520;1.003700;1.003330;1.003430;0
20220901 043400;1.003430;1.003500;1.003020;1.003130;0
20220901 043500;1.003140;1.003300;1.003070;1.003130;0
20220901 043600;1.003130;1.003140;1.002770;1.002830;0
20220901 043700;1.002830;1.003090;1.002830;1.002950;0
